run_id,status,error,timestamp_utc,pilot_mode,condition_name,pressure_mode,requested_fraction_of_ram,actual_fraction_of_ram,requested_size_bytes,actual_size_bytes,trial_id,request_index,model_name,prompt_id,max_tokens,temperature,latency_ms,response_chars,response_digest,eval_count,eval_duration_ns,prompt_eval_count,prompt_eval_duration_ns,total_duration_ns,load_duration_ns,tokens_per_second
pilot=1|mode=mmap_random|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:10Z,True,mmap_random__req_0.01x__actual_0.01x,mmap_random,0.01,0.009999984452264646,1027440640,1027440640,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1192.8482999792323,0,e3b0c44298fc1c14,64,887942300,24,209718900,1190664200,90786100,72.07675543782518
pilot=1|mode=mmap_random|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:11Z,True,mmap_random__req_0.01x__actual_0.01x,mmap_random,0.01,0.009999984452264646,1027440640,1027440640,1,1,qwen3:4b,locality_prompt_v1,64,0.0,1021.6937999939546,0,e3b0c44298fc1c14,64,901988100,24,15066000,1019860000,100142700,70.95437290137198
pilot=1|mode=mmap_random|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:12Z,True,mmap_random__req_0.01x__actual_0.01x,mmap_random,0.01,0.009999984452264646,1027440640,1027440640,1,2,qwen3:4b,locality_prompt_v1,64,0.0,1015.3769999742508,0,e3b0c44298fc1c14,64,892179300,24,23897900,1013483400,94791500,71.73445965401798
pilot=1|mode=mmap_random|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:13Z,True,mmap_random__req_0.01x__actual_0.01x,mmap_random,0.01,0.009999984452264646,1027440640,1027440640,1,3,qwen3:4b,locality_prompt_v1,64,0.0,987.3112000059336,0,e3b0c44298fc1c14,64,876020400,24,13501900,985344800,93249600,73.05765938784074
pilot=1|mode=mmap_random|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:14Z,True,mmap_random__req_0.01x__actual_0.01x,mmap_random,0.01,0.009999984452264646,1027440640,1027440640,1,4,qwen3:4b,locality_prompt_v1,64,0.0,997.2086000489071,0,e3b0c44298fc1c14,64,878016100,24,21325000,995270100,92797600,72.8916018738153
pilot=1|mode=mmap_random|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:19Z,True,mmap_random__req_0.02x__actual_0.02x,mmap_random,0.02,0.01999996890452929,2054881280,2054881280,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1394.092999980785,0,e3b0c44298fc1c14,64,1088158100,24,205938400,1391651200,94455900,58.81498285956793
pilot=1|mode=mmap_random|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:20Z,True,mmap_random__req_0.02x__actual_0.02x,mmap_random,0.02,0.01999996890452929,2054881280,2054881280,1,1,qwen3:4b,locality_prompt_v1,64,0.0,1007.5565000297502,0,e3b0c44298fc1c14,64,875312700,24,34052800,1005561400,92052300,73.11672731356462
pilot=1|mode=mmap_random|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:21Z,True,mmap_random__req_0.02x__actual_0.02x,mmap_random,0.02,0.01999996890452929,2054881280,2054881280,1,2,qwen3:4b,locality_prompt_v1,64,0.0,990.4888999881223,0,e3b0c44298fc1c14,64,876330600,24,15070400,989081100,95016100,73.03179872984009
pilot=1|mode=mmap_random|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:22Z,True,mmap_random__req_0.02x__actual_0.02x,mmap_random,0.02,0.01999996890452929,2054881280,2054881280,1,3,qwen3:4b,locality_prompt_v1,64,0.0,985.5809999862686,0,e3b0c44298fc1c14,64,872877400,24,14170200,983936900,94223400,73.32072064186792
pilot=1|mode=mmap_random|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:23Z,True,mmap_random__req_0.02x__actual_0.02x,mmap_random,0.02,0.01999996890452929,2054881280,2054881280,1,4,qwen3:4b,locality_prompt_v1,64,0.0,991.3352000294253,0,e3b0c44298fc1c14,64,873033400,24,14135900,989905200,101007100,73.30761915867137
pilot=1|mode=mmap_random|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:28Z,True,mmap_random__req_0.05x__actual_0.05x,mmap_random,0.05,0.049999962127311316,5137207296,5137207296,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1287.1047000517137,0,e3b0c44298fc1c14,64,1106968000,24,74287000,1285135500,100235400,57.815582744939334
pilot=1|mode=mmap_random|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:30Z,True,mmap_random__req_0.05x__actual_0.05x,mmap_random,0.05,0.049999962127311316,5137207296,5137207296,1,1,qwen3:4b,locality_prompt_v1,64,0.0,988.2735999999568,0,e3b0c44298fc1c14,64,877980700,24,13900100,986497400,92314300,72.89454084810748
pilot=1|mode=mmap_random|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:31Z,True,mmap_random__req_0.05x__actual_0.05x,mmap_random,0.05,0.049999962127311316,5137207296,5137207296,1,2,qwen3:4b,locality_prompt_v1,64,0.0,991.2524000392295,0,e3b0c44298fc1c14,64,875399100,24,15513800,989048500,96564200,73.10951085053664
