model,condition,mode,n,wall_s_median,wall_s_min,wall_s_max,effective_tps_median,effective_tps_min,effective_tps_max,decode_tps_median,decode_tps_min,decode_tps_max,generated_tokens_median,generated_tokens_min,generated_tokens_max,words_median,words_min,words_max,paired_latency_ratio,paired_throughput_ratio,exact_work_matches,cached_input_tokens_median,cached_input_tokens_min,cached_input_tokens_max,reasoning_output_tokens_median,reasoning_output_tokens_min,reasoning_output_tokens_max,cache_matches
4b,gpu,one_shot,3,24.602835375000723,24.167527084005997,25.211152250063606,10.608533367060842,10.35256133520599,10.799615496147684,12.64378337263535,11.940600453651438,12.647732746771284,261,261,261,174,174,174,5.798911297467951,0.1724461625127189,3,,,,,,,
4b,quiet,agentic,3,12.548474041977897,11.232161124935374,12.624380999943241,37.53444430170417,37.308759930654624,41.93315914551662,74.88027156193017,74.78798162212604,85.02672140970168,471,471,471,88,88,88,,,,,,,,,,
4b,quiet,one_shot,3,4.262318875058554,4.107774500036612,4.347566458047368,61.234273561105745,60.03358488445592,63.53805448611499,74.36929813191622,74.1575377034403,84.36066299511162,261,261,261,174,174,174,,,,,,,,,,
4b,video,agentic,3,12.627517041983083,11.30674450006336,13.084114874945953,37.29949430549586,35.997849644525196,41.65655286518243,74.29556448698997,72.29325366803047,83.80542026819853,471,471,471,88,88,88,1.0066401625028696,0.9934036384100156,3,,,,,,,
4b,video,one_shot,3,4.306134416954592,3.9178390000015497,4.400610959040932,60.611205951296306,59.309946375464705,66.61835772217714,74.05748461039776,73.68876350779537,83.45772606071121,261,261,261,174,174,174,1.0102797428302301,0.9898248550431863,3,,,,,,,
9b,quiet,agentic,3,13.265830291085877,13.143734790966846,13.316875624936074,19.825370461487495,19.749377211838492,20.00953337713031,41.42907628256161,41.34854424561608,41.661523329251345,263,263,263,162,162,162,,,,,,,,,,
9b,quiet,one_shot,3,7.819813292007893,7.721195999998599,7.847792875021696,33.632516554940594,33.51260719903657,34.06208053778815,41.34837523260724,41.24748765538232,41.46332781398475,263,263,263,176,176,176,,,,,,,,,,
cloud,combined,agentic,6,41.81184693754767,36.796001165988855,44.50722987501649,10.013546274458417,9.05470866489982,11.441460665816512,,,,417.0,403,430,224.5,221,230,0.9664474281568063,1.0114641169211813,0,37120.0,36096,37120,145.5,86,188,4
cloud,combined,one_shot,6,20.165058603975922,17.562827792018652,22.71274612500565,17.926762433040132,16.20235606802515,20.270084306229013,,,,365.0,356,373,230.0,220,234,1.1007616029422422,0.9333869531888732,0,7424.0,7424,7424,116.5,77,193,6
cloud,quiet,agentic,6,42.09107295802096,37.236820042016916,44.21202783298213,9.853477944563181,9.590150481261038,11.144882928556369,,,,416.0,411,425,228.0,221,232,,,,37120.0,29696,37120,120.5,68,160,
cloud,quiet,one_shot,6,18.484768207999878,16.48722558299778,19.703765624959487,19.3728208333157,18.095953820469788,22.017045752945762,,,,361.5,353,363,227.5,221,231,,,,7424.0,7424,7424,90.0,66,122,
cloud_agent,combined,agentic,3,37.98249462497188,34.54383970901836,38.60908654204104,11.005069680841414,10.645162494390181,12.071616922514083,,,,417,411,418,225,221,231,0.9203292893445388,1.0735079070822704,0,37120,37120,37120,112,96,174,0
cloud_agent,quiet,agentic,3,41.95138304197462,38.8300894999993,43.718167292070575,9.91624041533433,9.744232807244556,10.996626726806994,,,,426,416,427,226,221,229,,,,37120,29696,37120,128,121,170,
