model,rep,condition,mode,step,elapsed_s,prompt_sha256,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,campaign,prompt_tokens,generation_tokens,generation_tps,ttft_s
cloud,4,combined,agentic,0,5.262116500001866,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,4,combined,agentic,1,8.135180666984525,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,47,31,rerun_20260911,,,,
cloud,4,combined,agentic,2,6.493585332995281,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,34,18,rerun_20260911,,,,
cloud,4,combined,agentic,3,5.8735562080401,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,31,15,rerun_20260911,,,,
cloud,4,combined,agentic,4,18.733766542049125,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,465,124,rerun_20260911,,,,
cloud,4,quiet,one_shot,0,19.505096709006466,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,469,116,rerun_20260911,,,,
cloud,4,quiet,agentic,0,4.958935707982164,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,4,quiet,agentic,1,4.590253875008784,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,0,0,14,0,rerun_20260911,,,,
cloud,4,quiet,agentic,2,6.749172542011365,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,33,17,rerun_20260911,,,,
cloud,4,quiet,agentic,3,7.412430875003338,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,33,17,rerun_20260911,,,,
cloud,4,quiet,agentic,4,17.810829832975287,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,437,85,rerun_20260911,,,,
cloud,5,combined,one_shot,0,20.771427792031318,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,558,193,rerun_20260911,,,,
cloud,5,combined,agentic,0,3.716202959010843,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,5,combined,agentic,1,5.117306750034913,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,5,combined,agentic,2,7.278072082961444,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud,5,combined,agentic,3,5.424074875016231,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,31,15,rerun_20260911,,,,
cloud,5,combined,agentic,4,20.233983125013765,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,516,144,rerun_20260911,,,,
cloud,5,quiet,one_shot,0,17.179159999999683,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,432,69,rerun_20260911,,,,
cloud,5,quiet,agentic,0,4.265031791001093,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,5,quiet,agentic,1,6.451294708997011,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,5,quiet,agentic,2,7.005663208023179,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud,5,quiet,agentic,3,6.94278199999826,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,33,17,rerun_20260911,,,,
cloud,5,quiet,agentic,4,19.533314374973997,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,417,51,rerun_20260911,,,,
cloud_agent,0,combined,agentic,0,4.629242916009389,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud_agent,0,combined,agentic,1,4.363907834049314,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud_agent,0,combined,agentic,2,4.956291292037349,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,39,23,rerun_20260911,,,,
cloud_agent,0,combined,agentic,3,5.2621100840042345,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,38,22,rerun_20260911,,,,
cloud_agent,0,combined,agentic,4,18.76369133294793,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,487,129,rerun_20260911,,,,
cloud_agent,0,quiet,agentic,0,3.7955239999573678,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud_agent,0,quiet,agentic,1,4.582381832995452,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,12181,7424,0,14,0,rerun_20260911,,,,
cloud_agent,0,quiet,agentic,2,7.987047207949217,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,12345,7424,0,46,30,rerun_20260911,,,,
cloud_agent,0,quiet,agentic,3,5.0176800829940476,76742334ce9c2cfb8ff95d8a7e7a79b5c9646446e9ab42bba11454f1d0455908,12522,7424,0,48,32,rerun_20260911,,,,
cloud_agent,0,quiet,agentic,4,17.43929037504131,cfc5d4ab32bf947b257548f034832ba0dca9da7bbb57d49420b5f3b1841fc57e,12714,7424,0,426,59,rerun_20260911,,,,
cloud_agent,1,combined,agentic,0,4.8267421670025215,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud_agent,1,combined,agentic,1,5.922388083010446,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud_agent,1,combined,agentic,2,4.405173332954291,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud_agent,1,combined,agentic,3,6.5790012090001255,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,34,18,rerun_20260911,,,,
cloud_agent,1,combined,agentic,4,16.87037604197394,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,447,94,rerun_20260911,,,,
cloud_agent,1,quiet,agentic,0,5.878148332994897,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud_agent,1,quiet,agentic,1,4.480193500057794,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,12181,7424,0,14,0,rerun_20260911,,,,
cloud_agent,1,quiet,agentic,2,5.417627374990843,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,12345,7424,0,49,33,rerun_20260911,,,,
cloud_agent,1,quiet,agentic,3,5.160539333010092,76742334ce9c2cfb8ff95d8a7e7a79b5c9646446e9ab42bba11454f1d0455908,12522,7424,0,28,12,rerun_20260911,,,,
cloud_agent,1,quiet,agentic,4,21.006249333033338,cfc5d4ab32bf947b257548f034832ba0dca9da7bbb57d49420b5f3b1841fc57e,12714,7424,0,481,125,rerun_20260911,,,,
cloud_agent,2,combined,agentic,0,4.446613791980781,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud_agent,2,combined,agentic,1,4.543815999990329,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,12181,7424,0,14,0,rerun_20260911,,,,
cloud_agent,2,combined,agentic,2,3.9950202918844298,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,12345,7424,0,14,0,rerun_20260911,,,,
cloud_agent,2,combined,agentic,3,4.8451343330089,76742334ce9c2cfb8ff95d8a7e7a79b5c9646446e9ab42bba11454f1d0455908,12522,7424,0,31,15,rerun_20260911,,,,
cloud_agent,2,combined,agentic,4,16.70739695802331,cfc5d4ab32bf947b257548f034832ba0dca9da7bbb57d49420b5f3b1841fc57e,12714,7424,0,440,81,rerun_20260911,,,,
