model,condition,mode,n,wall_s_median,wall_s_min,wall_s_max,effective_tps_median,effective_tps_min,effective_tps_max,decode_tps_median,decode_tps_min,decode_tps_max,generated_tokens_median,generated_tokens_min,generated_tokens_max,words_median,words_min,words_max,paired_latency_ratio,paired_throughput_ratio,exact_work_matches,campaign,cached_input_tokens_median,cached_input_tokens_min,cached_input_tokens_max,reasoning_output_tokens_median,reasoning_output_tokens_min,reasoning_output_tokens_max,cache_matches
35b,quiet,one_shot,3,416.21772837499157,407.39733874995727,418.51615937496535,0.7784387302889992,0.7741636559120658,0.7952923821106673,0.8733933612230403,0.8702658275118591,0.8924199427290623,324,324,324,211,211,211,,,,paging_rerun_20260911,,,,,,,
9b,browser,agentic,3,13.71113145898562,13.014317458029836,14.368701874976978,19.181495034652475,18.303671569525232,20.20851272824369,40.39546236086509,39.95942472622011,41.252590741200166,263,263,263,162,162,162,1.1032227431636177,0.9064352654046863,3,paging_9b_allcases_20260911,,,,,,,
9b,browser,one_shot,3,8.993879083078355,8.642104209051467,9.083410208928399,29.24210983610227,28.95388339298914,30.43240322473109,39.55325773858526,37.58326775156335,40.011108282305926,263,263,263,176,176,176,1.234898515026792,0.8097831423647832,3,paging_9b_allcases_20260911,,,,,,,
9b,combined,agentic,3,13.391850874992087,12.745431834016927,13.698818250093609,19.63880888870452,19.198736358021453,20.634844187708573,43.43351098377506,40.95259659296193,43.81711155826172,263,263,263,162,162,162,1.0775328427519792,0.9280459586234392,3,paging_9b_allcases_20260911,,,,,,,
9b,combined,one_shot,3,8.26018241699785,7.639595916029066,9.116869499906898,31.83949054911876,28.847621434384443,34.42590457542197,42.04992225558989,40.05232488699163,43.412583694614405,263,263,263,176,176,176,1.151724651508228,0.868263085877741,3,paging_9b_allcases_20260911,,,,,,,
9b,fault,agentic,3,12.105161915998906,11.120750750065781,12.862014165963046,21.72626866332151,20.447808298639657,23.649482477470716,49.63552293945477,48.53236198760611,50.110444639498425,263,263,263,162,162,162,1.0349012109780213,0.9662758042914662,3,paging_9b_allcases_20260911,,,,,,,
9b,fault,one_shot,3,7.131907082977705,6.8416344170691445,7.817192416987382,36.876532032746645,33.643792549928804,38.44110690039842,48.23293648005829,47.518755701553054,49.60665974113321,263,263,263,176,176,176,1.0733343441962657,0.9316761411830349,3,paging_9b_allcases_20260911,,,,,,,
9b,game,agentic,3,12.491525707999244,11.468388124951161,13.880059417104349,21.0542736049914,18.94804568890433,22.93260370459602,45.149184043671376,39.69461359244214,48.61363006444448,263,263,263,162,162,162,1.0694216633838014,0.9350848540283527,3,paging_9b_allcases_20260911,,,,,,,
9b,game,one_shot,3,8.243065083050169,7.071189083042555,8.247667749994434,31.905607604723958,31.88780246393624,37.19317881496074,40.495525627533794,39.42585683760003,45.305386193341285,263,263,263,176,176,176,1.0660331870863036,0.9380571000169458,3,paging_9b_allcases_20260911,,,,,,,
9b,gpu,agentic,3,49.34817962499801,46.49923520802986,57.40267491689883,5.329477237024031,4.581668021233191,5.6560070036288055,9.405862216684932,7.987496541059725,9.863148748826784,263,263,263,162,162,162,4.327051646719249,0.23110424410075983,3,paging_9b_allcases_20260911,,,,,,,
9b,gpu,one_shot,3,32.88811099994928,32.753192125004716,33.85096083395183,7.996810762418238,7.7693511061646525,8.029751695536826,9.21466740128324,8.847952660293174,9.258578912101983,263,263,263,176,176,176,4.64788339713473,0.2151516969243393,3,paging_9b_allcases_20260911,,,,,,,
9b,quiet,agentic,3,12.428253083024174,11.404573749983683,12.979033333947882,21.161461570108617,20.263450538500333,23.060923254617585,43.66787786229626,41.88877828370144,48.11334773351706,263,263,263,162,162,162,,,,paging_9b_allcases_20260911,,,,,,,
9b,quiet,one_shot,3,7.2830916659440845,6.633179124910384,8.563786499900743,36.11103801285304,30.71071423873636,39.64916294998338,45.01908732242692,40.901246792953444,48.43004442753237,263,263,263,176,176,176,,,,paging_9b_allcases_20260911,,,,,,,
9b,video,agentic,3,11.767345166997984,11.281683959066868,13.279122875072062,22.349986022131365,19.80552499395204,23.31212263649985,49.2413608569553,41.516102016995696,49.44831365511771,263,263,263,162,162,162,1.03180929204082,0.9691713456292836,3,paging_9b_allcases_20260911,,,,,,,
9b,video,one_shot,3,7.158480125013739,6.515915791969746,8.675432874937542,36.73964241110402,30.315490165312752,40.36270700798847,49.082307040783725,41.25204612793721,49.15179054057892,263,263,263,176,176,176,0.9823216996356596,1.0179964469591758,3,paging_9b_allcases_20260911,,,,,,,
