model,rep,condition,mode,quiet_s,loaded_s,latency_ratio,quiet_effective_tps,loaded_effective_tps,throughput_ratio,same_prompts,exact_work_match,quiet_tokens,loaded_tokens,cache_match,quiet_cached,loaded_cached,quiet_reasoning,loaded_reasoning,cached_delta,reasoning_delta,campaign
4b,0,browser,one_shot,4.107774500036612,4.5313062919303775,1.1031049274710651,63.53805448611499,57.59928444139927,0.9065320760487949,True,True,261,261,,,,,,,,rerun_20260911
4b,0,browser,agentic,11.232161124935374,11.572928959038109,1.0303385813569066,41.93315914551662,40.69842661845455,0.9705547458807647,True,True,471,471,,,,,,,,rerun_20260911
4b,0,combined,one_shot,4.107774500036612,4.851532500004396,1.1810610587219805,63.53805448611499,53.797434109688744,0.84669627587425,True,True,261,261,,,,,,,,rerun_20260911
4b,0,combined,agentic,11.232161124935374,12.800873417058028,1.1396625524397186,41.93315914551662,36.79436431051343,0.8774527142786804,True,True,471,471,,,,,,,,rerun_20260911
4b,0,fault,one_shot,4.107774500036612,5.128599458024837,1.2485104666721911,63.53805448611499,50.8910867647516,0.8009544386643576,True,True,261,261,,,,,,,,rerun_20260911
4b,0,fault,agentic,11.232161124935374,13.812331333057955,1.2297127132902865,41.93315914551662,34.099963912154706,0.8131980658509623,True,True,471,471,,,,,,,,rerun_20260911
4b,0,game,one_shot,4.107774500036612,4.260337125044316,1.0371399708056868,63.53805448611499,61.26275746248252,0.9641900111353002,True,True,261,261,,,,,,,,rerun_20260911
4b,0,game,agentic,11.232161124935374,12.271186541998759,1.0925044971761269,41.93315914551662,38.38259636816526,0.9153280399163302,True,True,471,471,,,,,,,,rerun_20260911
4b,0,gpu,one_shot,4.107774500036612,24.602835375000723,5.989334461952923,63.53805448611499,10.608533367060842,0.16696345918773972,True,True,261,261,,,,,,,,rerun_20260911
4b,0,gpu,agentic,11.232161124935374,72.2521287080599,6.432611489845915,41.93315914551662,6.518839076743476,0.15545785744693774,True,True,471,471,,,,,,,,rerun_20260911
4b,0,video,one_shot,4.107774500036612,3.9178390000015497,0.9537619457851522,63.53805448611499,66.61835772217714,1.048479659331327,True,True,261,261,,,,,,,,rerun_20260911
4b,0,video,agentic,11.232161124935374,11.30674450006336,1.0066401625028696,41.93315914551662,41.65655286518243,0.9934036384100156,True,True,471,471,,,,,,,,rerun_20260911
4b,1,browser,one_shot,4.262318875058554,4.663073500036262,1.0940226756197828,61.234273561105745,55.97166761321055,0.914057836537513,True,True,261,261,,,,,,,,rerun_20260911
4b,1,browser,agentic,12.624380999943241,14.097910666023381,1.1167209438693877,37.308759930654624,33.409205885743894,0.8954788620109919,True,True,471,471,,,,,,,,rerun_20260911
4b,1,combined,one_shot,4.262318875058554,5.131648499984294,1.203956965775771,61.234273561105745,50.86084910157015,0.8305944717514459,True,True,261,261,,,,,,,,rerun_20260911
4b,1,combined,agentic,12.624380999943241,15.36333129205741,1.2169571951390317,37.308759930654624,30.6574134897097,0.8217215888893733,True,True,471,471,,,,,,,,rerun_20260911
4b,1,fault,one_shot,4.262318875058554,4.332683457992971,1.0165085215341731,61.234273561105745,60.23980346833439,0.983759583727584,True,True,261,261,,,,,,,,rerun_20260911
4b,1,fault,agentic,12.624380999943241,13.427106749964878,1.0635853551968406,37.308759930654624,35.078294138179245,0.9402160297843959,True,True,471,471,,,,,,,,rerun_20260911
4b,1,game,one_shot,4.262318875058554,4.964325999957509,1.1647007522142068,61.234273561105745,52.57511291608044,0.8585896403852278,True,True,261,261,,,,,,,,rerun_20260911
4b,1,game,agentic,12.624380999943241,14.548682250082493,1.152427374470709,37.308759930654624,32.37406604280806,0.8677336395790526,True,True,471,471,,,,,,,,rerun_20260911
4b,1,gpu,one_shot,4.262318875058554,24.167527084005997,5.670042010564964,61.234273561105745,10.799615496147684,0.17636553629350624,True,True,261,261,,,,,,,,rerun_20260911
4b,1,gpu,agentic,12.624380999943241,63.44180683395825,5.025340001560749,37.308759930654624,7.424126510657475,0.1989915109603379,True,True,471,471,,,,,,,,rerun_20260911
4b,1,video,one_shot,4.262318875058554,4.306134416954592,1.0102797428302301,61.234273561105745,60.611205951296306,0.9898248550431863,True,True,261,261,,,,,,,,rerun_20260911
