stage,window,precision,operator,operator_label,device,path,median_us,p10_us,p90_us
prefill,1024,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,2308.024002857784,2252.0490937390223,2368.5093020601025
prefill,1024,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,3113.9009731120223,3071.6455592083894,3413.819114506696
prefill,1024,int8,qkv,QKV projection + RoPE,GPU,plain,455.5562432524677,449.57032212092844,465.02086607848895
prefill,1024,int8,qkv,QKV projection + RoPE,NPU,plain,835.3602779379895,830.4387461635973,836.5581319697776
prefill,1024,int8,mha,Multi-head attention,GPU,plain,3089.0590366927972,3061.234528935481,3103.648915755973
prefill,1024,int8,mha,Multi-head attention,NPU,plain,2180.899322594641,2172.894299788647,2185.0884956643363
prefill,1024,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,2362.1075846941785,2333.4372080324774,2388.125638731624
prefill,1024,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,3303.5224196309764,3289.35427320056,3306.69621640432
prefill,2048,fp16,qkv,QKV projection + RoPE,GPU,plain,1692.6536715117834,1657.1540191006181,1733.2854342081312
prefill,2048,fp16,qkv,QKV projection + RoPE,NPU,plain,3275.576974575173,3208.4812772748724,3464.5075398626614
prefill,2048,fp16,mha,Multi-head attention,GPU,plain,6877.11620222657,6866.140487723775,6883.532066357272
prefill,2048,fp16,mha,Multi-head attention,NPU,plain,2754.3377240698437,2467.206094214182,2767.6913541815625
prefill,2048,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,4329.225349254598,4315.516279806015,4347.382534304984
prefill,2048,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,13509.397295499824,13333.183279027186,13573.061344458058
prefill,2048,int8,qkv,QKV projection + RoPE,GPU,plain,1085.6395678722274,1063.4745185784464,1109.828434799205
prefill,2048,int8,qkv,QKV projection + RoPE,NPU,plain,3179.3796227824423,2808.77707983007,3185.7808924159026
prefill,2048,int8,mha,Multi-head attention,GPU,plain,11797.047527088067,11784.276650143187,11800.746461955745
prefill,2048,int8,mha,Multi-head attention,NPU,plain,13344.233615384648,12928.438042088646,13352.760326739643
prefill,2048,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,4499.717523218984,4474.079223467338,4509.245178277187
prefill,2048,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,4705.560718216044,4592.891839240994,4713.1162952728455
decode,128,fp16,qkv,QKV projection + RoPE,GPU,plain,46.00979949247713,44.35829684862395,48.56679368429757
decode,128,fp16,qkv,QKV projection + RoPE,NPU,plain,385.1584068239513,379.70327826929224,387.86356101217876
decode,128,fp16,mha,Multi-head attention,GPU,plain,71.17767264026227,66.4354982168487,76.3192472181819
decode,128,fp16,mha,Multi-head attention,NPU,plain,643.7164899542329,638.8768920604422,644.9371237352981
decode,128,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,355.07562651803005,353.3160586986953,357.8084187761515
decode,128,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,730.6886021154744,728.1839927896896,732.6740462373532
decode,128,int8,qkv,QKV projection + RoPE,GPU,plain,30.269605641284684,28.438023471472736,32.684496973696
decode,128,int8,qkv,QKV projection + RoPE,NPU,plain,495.37567999067556,486.0849731012943,496.92335932698046
decode,128,int8,mha,Multi-head attention,GPU,plain,172.53675215532272,155.77260108998544,189.17390672654352
decode,128,int8,mha,Multi-head attention,NPU,plain,638.646674707363,635.3324372765857,640.8847283850074
decode,128,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,201.7973709418979,199.2713156584147,207.00181416674133
decode,128,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,793.3334765540098,790.6891719135764,793.9603688730548
decode,512,fp16,qkv,QKV projection + RoPE,GPU,plain,45.89287885304155,43.391492765343,48.31468459751961
decode,512,fp16,qkv,QKV projection + RoPE,NPU,plain,301.5325528123951,292.8341407092563,306.16645643194636
decode,512,fp16,mha,Multi-head attention,GPU,plain,184.56918669158014,164.48403071513744,203.11887810385795
decode,512,fp16,mha,Multi-head attention,NPU,plain,901.7107223238405,899.1523753164198,903.3162073804924
decode,512,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,356.168646750779,354.1956735031487,358.90908558157423
decode,512,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,772.5495427586195,768.2370890471127,774.0650712454467
decode,512,int8,qkv,QKV projection + RoPE,GPU,plain,27.945840900594536,26.15350293707473,30.11862119817553
decode,512,int8,qkv,QKV projection + RoPE,NPU,plain,527.9797033789054,526.3936713688182,530.5347992318403
decode,512,int8,mha,Multi-head attention,GPU,plain,352.3172084967811,325.8702295829045,384.7410965960487
decode,512,int8,mha,Multi-head attention,NPU,plain,718.8157407447749,717.9677429370822,720.334134069402
decode,512,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,195.62088630416176,195.14536806894222,198.48949911183868
decode,512,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,720.998886924059,720.0608242849697,721.9963413675393
decode,1024,fp16,qkv,QKV projection + RoPE,GPU,plain,47.851967177401335,45.60435270203162,49.47823972984454
decode,1024,fp16,qkv,QKV projection + RoPE,NPU,plain,522.0027442226184,520.4113511470266,526.2212759582658
decode,1024,fp16,mha,Multi-head attention,GPU,plain,268.5247943781474,242.20978435079016,294.8903087898734
decode,1024,fp16,mha,Multi-head attention,NPU,plain,869.4090646266999,867.3456434196639,870.2585896382923
decode,1024,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,355.2537612602838,354.69319854426936,356.7273811358918
decode,1024,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,411.4526055920855,407.3549459860163,412.1987631669934
decode,1024,int8,qkv,QKV projection + RoPE,GPU,plain,28.169599428112566,26.79477306449507,29.514156938951356
decode,1024,int8,qkv,QKV projection + RoPE,NPU,plain,787.5955310673689,782.9096452822237,791.7855140682693
decode,1024,int8,mha,Multi-head attention,GPU,plain,626.0984531540342,577.5762193902272,674.21402257417
decode,1024,int8,mha,Multi-head attention,NPU,plain,899.6062729908062,898.1550083844874,900.2821288682434
decode,1024,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,196.001585398879,194.63703826993716,196.45360712489494
decode,1024,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,836.529334896475,835.600134748842,837.5119907608013
decode,2048,fp16,qkv,QKV projection + RoPE,GPU,plain,45.65855132714483,40.19368618474643,47.36573945550736
decode,2048,fp16,qkv,QKV projection + RoPE,NPU,plain,390.14582674430216,343.84886180962053,400.8404484333204
decode,2048,fp16,mha,Multi-head attention,GPU,plain,470.79039590656,431.82447465150653,517.4974874288663
decode,2048,fp16,mha,Multi-head attention,NPU,plain,1888.2503456920458,1885.8612641675998,1892.2383718172614
decode,2048,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,358.47343429170473,356.96358477752244,359.3615849226825
decode,2048,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,641.6445033764213,636.884050988336,644.2844056598816
decode,2048,int8,qkv,QKV projection + RoPE,GPU,plain,25.70974951999966,23.188741672363573,26.33837382873078
decode,2048,int8,qkv,QKV projection + RoPE,NPU,plain,1068.0539756277287,1064.0397351828854,1068.242422485747
decode,2048,int8,mha,Multi-head attention,GPU,plain,1138.4030465973638,1087.854446281752,1188.6091869238674
decode,2048,int8,mha,Multi-head attention,NPU,plain,1086.0266730646715,1084.5867952854387,1086.9905829195045
decode,2048,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,185.90126575999756,182.95690997004905,186.79804940658966
decode,2048,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,1073.2532262405905,1072.1688709545215,1073.992703830961
