stage,window,precision,operator,operator_label,device,path,median_us,p10_us,p90_us
prefill,512,int8,ffn_down_and_residual,FFN down projection + residual,GPU,plain,202.477051894249,198.14433183171624,207.0647616692328
prefill,512,int8,ffn_down_and_residual,FFN down projection + residual,NPU,plain,168.49604797670506,167.9849046796955,168.8825068023397
prefill,512,int8,final_rmsnorm,Final RMSNorm,GPU,plain,77.13411500733295,75.29484609605217,78.70334832676721
prefill,512,int8,final_rmsnorm,Final RMSNorm,NPU,plain,203.68347672690118,202.76766141337362,203.8328382935491
prefill,512,int8,lm_head,LM head,GPU,plain,1661.2760019704333,1587.8654951235728,1691.0212580653688
prefill,512,int8,lm_head,LM head,NPU,plain,1008.2710760807878,1006.2077421669787,1011.4667554713901
prefill,1024,fp16,token_embedding,Token embedding,GPU,plain,99.71132922130198,96.08742799953161,104.71705113609778
prefill,1024,fp16,token_embedding,Token embedding,NPU,npuw,88.10478911554097,87.4576561249037,92.74344937763075
prefill,1024,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,GPU,plain,127.08306665460057,122.11110641607142,132.32427370834174
prefill,1024,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,NPU,npuw,144.7219944701854,139.01540522803003,149.42000177507177
prefill,1024,fp16,qkv_projection,QKV projection,GPU,plain,351.92233842812465,337.3069087066891,369.36559855278125
prefill,1024,fp16,qkv_projection,QKV projection,NPU,plain,132.22714576974204,130.10711562527734,133.6966855021114
prefill,1024,fp16,rotary_embedding,Rotary embedding (RoPE),GPU,plain,240.48026459255183,237.54722535854185,242.75316399731759
prefill,1024,fp16,rotary_embedding,Rotary embedding (RoPE),NPU,plain,1402.6448208123616,1389.5688296448952,1431.3041143825712
prefill,1024,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,GPU,plain,114.37475998914051,109.09926720780152,118.04467582614659
prefill,1024,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,NPU,npuw,365.5590285625975,359.9585465468484,367.66846665005636
prefill,1024,fp16,scaled_dot_product_attention,Scaled dot-product attention,GPU,plain,737.0817865966833,720.5115897314889,742.4593194260701
prefill,1024,fp16,scaled_dot_product_attention,Scaled dot-product attention,NPU,plain,850.747283874451,834.050861585497,852.2250472033493
prefill,1024,fp16,attention_output_and_residual,Attention output + residual,GPU,plain,778.1393927466312,776.4893851103936,779.2344128916185
prefill,1024,fp16,attention_output_and_residual,Attention output + residual,NPU,npuw,1436.4925206896437,1431.7140167229054,1444.7817210614892
prefill,1024,fp16,ffn_rmsnorm,FFN RMSNorm,GPU,plain,132.2302825707954,130.11839208269905,133.63574232373918
prefill,1024,fp16,ffn_rmsnorm,FFN RMSNorm,NPU,npuw,1206.5739821051145,1193.5397777045682,1215.9696696178255
prefill,1024,fp16,ffn_gate_projection,FFN gate projection,GPU,plain,810.3989404358759,793.7221917044642,830.1206235516115
prefill,1024,fp16,ffn_gate_projection,FFN gate projection,NPU,plain,362.97647858360557,357.39300279782975,367.13164086507237
prefill,1024,fp16,ffn_up_projection,FFN up projection,GPU,plain,651.0563260920306,629.5728355385977,673.9970200396112
prefill,1024,fp16,ffn_up_projection,FFN up projection,NPU,plain,370.75454598182563,365.02274105980587,374.7954226326336
prefill,1024,fp16,swiglu_activation,SwiGLU activation,GPU,plain,0.0,0.0,0.0
prefill,1024,fp16,swiglu_activation,SwiGLU activation,NPU,plain,272.6614101933949,271.454228589798,274.07143368754413
prefill,1024,fp16,ffn_down_and_residual,FFN down projection + residual,GPU,plain,714.5978594193309,698.6356744132611,730.1634383762455
prefill,1024,fp16,ffn_down_and_residual,FFN down projection + residual,NPU,plain,674.8399428360503,670.538215223947,680.9033381856165
prefill,1024,fp16,final_rmsnorm,Final RMSNorm,GPU,plain,130.20370929694135,129.03819075697905,131.3723005161954
prefill,1024,fp16,final_rmsnorm,Final RMSNorm,NPU,plain,20.74151306192032,20.436184822811494,21.316631843589455
prefill,1024,fp16,lm_head,LM head,GPU,plain,3369.6563904492937,3225.0136137008667,3422.0715351860235
prefill,1024,fp16,lm_head,LM head,NPU,plain,1955.7706398314326,1946.8534335304082,1987.4814123261506
prefill,1024,int8,token_embedding,Token embedding,GPU,plain,82.38783122651012,80.66688493198278,84.02841111890561
prefill,1024,int8,token_embedding,Token embedding,NPU,plain,161.0969889503523,151.74359760501167,164.3456143922774
prefill,1024,int8,pre_attention_rmsnorm,Pre-attention RMSNorm,GPU,plain,7.869939993364174,7.7541488213186,8.593814773524437
prefill,1024,int8,pre_attention_rmsnorm,Pre-attention RMSNorm,NPU,plain,154.82537342921245,153.60087883022658,155.87883313946188
prefill,1024,int8,qkv_projection,QKV projection,GPU,plain,290.7805807994475,287.57415103443304,295.05430722433897
prefill,1024,int8,qkv_projection,QKV projection,NPU,plain,75.68353015125551,75.12086375266064,76.79425228338737
prefill,1024,int8,rotary_embedding,Rotary embedding (RoPE),GPU,plain,156.77975664965237,153.4638298706014,161.37274408062552
prefill,1024,int8,rotary_embedding,Rotary embedding (RoPE),NPU,plain,605.0904021487555,597.2886288707906,606.2763113249573
prefill,1024,int8,kv_cache_and_gqa_layout,KV cache + GQA layout,GPU,plain,178.3454228903278,175.08766338490992,181.42497855218255
prefill,1024,int8,kv_cache_and_gqa_layout,KV cache + GQA layout,NPU,plain,174.8856042670729,174.17854510786398,176.3591294490315
prefill,1024,int8,scaled_dot_product_attention,Scaled dot-product attention,GPU,plain,2747.876488554779,2709.7594533910374,2768.1457395491343
prefill,1024,int8,scaled_dot_product_attention,Scaled dot-product attention,NPU,plain,1909.2636008552452,1900.1277002934949,1912.8071285805481
prefill,1024,int8,attention_output_and_residual,Attention output + residual,GPU,plain,162.8371252476906,160.35002736479504,165.19221731330308
prefill,1024,int8,attention_output_and_residual,Attention output + residual,NPU,plain,97.37475997653746,96.75011747232286,97.92805942925025
prefill,1024,int8,ffn_rmsnorm,FFN RMSNorm,GPU,plain,170.5912740690092,169.2188031597174,171.2073416174118
prefill,1024,int8,ffn_rmsnorm,FFN RMSNorm,NPU,npuw,386.58170472983954,380.6855840976792,388.33300670966156
prefill,1024,int8,ffn_gate_projection,FFN gate projection,GPU,plain,962.4837224461712,953.2464816962355,969.1913327919226
prefill,1024,int8,ffn_gate_projection,FFN gate projection,NPU,plain,314.28705822935694,309.8879415509659,315.7592907529017
prefill,1024,int8,ffn_up_projection,FFN up projection,GPU,plain,436.17087119917124,428.9117296383475,445.92349991510133
prefill,1024,int8,ffn_up_projection,FFN up projection,NPU,plain,306.4693698396205,303.7938659556751,306.71807292934983
prefill,1024,int8,swiglu_activation,SwiGLU activation,GPU,plain,434.23233399384156,429.89547213751797,437.3296851415769
prefill,1024,int8,swiglu_activation,SwiGLU activation,NPU,plain,606.4113381589693,602.926184152352,610.4205032795728
prefill,1024,int8,ffn_down_and_residual,FFN down projection + residual,GPU,plain,358.6293829859852,351.19607220387627,364.75969372070386
prefill,1024,int8,ffn_down_and_residual,FFN down projection + residual,NPU,plain,230.26987578923396,227.14512022838403,231.07459696082327
prefill,1024,int8,final_rmsnorm,Final RMSNorm,GPU,plain,175.43761708233333,174.1095200140445,176.65063701133565
prefill,1024,int8,final_rmsnorm,Final RMSNorm,NPU,npuw,442.01885167962536,424.5288519491133,449.2757778356303
prefill,1024,int8,lm_head,LM head,GPU,plain,1740.8064103860256,1696.9065475210261,1757.723637445157
prefill,1024,int8,lm_head,LM head,NPU,plain,670.1624538604315,650.7122856742641,678.3835316222089
prefill,2048,fp16,token_embedding,Token embedding,GPU,plain,200.37299839348123,193.9104232168847,206.6313643824532
prefill,2048,fp16,token_embedding,Token embedding,NPU,npuw,59.17723892585232,53.38659626372283,60.947843642916226
prefill,2048,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,GPU,plain,331.0029089483474,326.5273218537196,335.22641562046925
prefill,2048,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,NPU,npuw,93.43774567239839,87.93086443436701,98.35542314534273
prefill,2048,fp16,qkv_projection,QKV projection,GPU,plain,772.7091319262424,750.0098553158816,801.2460884830233
prefill,2048,fp16,qkv_projection,QKV projection,NPU,plain,224.93879035855784,178.7400687110608,225.63681453453964
prefill,2048,fp16,rotary_embedding,Rotary embedding (RoPE),GPU,plain,588.9416306371934,580.6168419310169,596.8129301046388
prefill,2048,fp16,rotary_embedding,Rotary embedding (RoPE),NPU,plain,2457.1867628846408,2094.010789425227,2468.9400474878644
prefill,2048,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,GPU,plain,232.47695946205002,223.99997164709094,241.8026604475516
prefill,2048,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,NPU,plain,488.8660233163075,411.1299558688319,489.22163878625184
prefill,2048,fp16,scaled_dot_product_attention,Scaled dot-product attention,GPU,plain,3343.7663172521898,3327.6138445199576,3348.376078445927
prefill,2048,fp16,scaled_dot_product_attention,Scaled dot-product attention,NPU,plain,2094.9203684010827,1517.4837248735316,2097.1791367017718
prefill,2048,fp16,attention_output_and_residual,Attention output + residual,GPU,plain,3304.4939237819967,3290.4582219538893,3308.342355820868
prefill,2048,fp16,attention_output_and_residual,Attention output + residual,NPU,plain,181.75459388110227,139.54512362823098,182.01094732804316
prefill,2048,fp16,ffn_rmsnorm,FFN RMSNorm,GPU,plain,285.81936412361483,284.1312313875826,286.407923946778
prefill,2048,fp16,ffn_rmsnorm,FFN RMSNorm,NPU,npuw,1191.5056975321518,1166.2104392747854,1214.6906937411793
prefill,2048,fp16,ffn_gate_projection,FFN gate projection,GPU,plain,1512.2784155477732,1503.7099014973603,1514.4213359242117
prefill,2048,fp16,ffn_gate_projection,FFN gate projection,NPU,plain,3034.199397992562,2986.7890188239876,3035.6465520763363
prefill,2048,fp16,ffn_up_projection,FFN up projection,GPU,plain,1195.5957915191145,1187.667104543424,1196.9231692153805
prefill,2048,fp16,ffn_up_projection,FFN up projection,NPU,plain,2894.4305226961933,2850.5973062855383,2895.958536145908
prefill,2048,fp16,swiglu_activation,SwiGLU activation,GPU,plain,0.0,0.0,0.0
prefill,2048,fp16,swiglu_activation,SwiGLU activation,NPU,plain,2901.408312477173,2859.6767537881015,2902.89158105422
prefill,2048,fp16,ffn_down_and_residual,FFN down projection + residual,GPU,plain,1331.760867775458,1327.716426457465,1360.034521401318
prefill,2048,fp16,ffn_down_and_residual,FFN down projection + residual,NPU,plain,857.758633464271,827.6265608105753,859.9543480717011
prefill,2048,fp16,final_rmsnorm,Final RMSNorm,GPU,plain,284.5075170559374,283.03841895916884,284.68424977819905
prefill,2048,fp16,final_rmsnorm,Final RMSNorm,NPU,plain,14.369513233243511,14.355793028690728,15.016009331162335
prefill,2048,fp16,lm_head,LM head,GPU,plain,3794.9096049328928,3746.1610046024352,3809.8759364848042
prefill,2048,fp16,lm_head,LM head,NPU,plain,1358.363243146999,1354.0700237826074,1464.9339335866512
prefill,2048,int8,token_embedding,Token embedding,GPU,plain,171.63444596837118,168.08085074117884,176.21231416031944
