stage,window,precision,operator,device,path,count,profile_unit_us,calibrated_weighted_s
decode,512,fp16,final_rmsnorm,NPU,plain,1,6.120155445656755,3.6076562659596446e-06
decode,512,fp16,lm_head,NPU,plain,1,3732.1740139784342,0.002200009638110783
decode,512,int8,token_embedding,GPU,plain,1,1.9431368514951954,1.074485669800778e-06
decode,512,int8,pre_attention_rmsnorm,GPU,plain,24,3.886273702990391,5.1575312150437334e-05
decode,512,int8,qkv_projection,GPU,plain,24,20.366889348931533,0.00027029199587673983
decode,512,int8,rotary_embedding,GPU,plain,24,3.9427650693442486,5.232501741470192e-05
decode,512,int8,kv_cache_and_gqa_layout,GPU,plain,24,126.75434979912522,0.001682175692433923
decode,512,int8,scaled_dot_product_attention,GPU,plain,24,210.59187250090883,0.002794795835461085
decode,512,int8,attention_output_and_residual,GPU,plain,24,14.785369010040933,0.00019621881530513223
decode,512,int8,ffn_rmsnorm,GPU,plain,24,4.073377869786306,5.405839917534796e-05
decode,512,int8,ffn_gate_projection,GPU,plain,24,64.87427351923732,0.0008609560630567323
decode,512,int8,ffn_up_projection,GPU,plain,24,66.38966130180509,0.0008810669980777918
decode,512,int8,swiglu_activation,GPU,plain,24,1.0183444674465765,1.351459979383699e-05
decode,512,int8,ffn_down_and_residual,GPU,plain,24,59.14147604016373,0.0007848752612205289
decode,512,int8,final_rmsnorm,GPU,plain,1,4.073377869786306,2.252433298972832e-06
decode,512,int8,lm_head,GPU,plain,1,1723.659544118813,0.0009531225133967799
decode,1024,fp16,token_embedding,GPU,plain,1,1.9618629551923266,1.5131570736086993e-06
decode,1024,fp16,pre_attention_rmsnorm,GPU,plain,24,5.048701937482195,9.345581285205574e-05
decode,1024,fp16,qkv_projection,NPU,npuw,24,52.94238955917694,0.0006361199965950916
decode,1024,fp16,rotary_embedding,GPU,plain,24,5.981495897175167,0.00011072263089876916
decode,1024,fp16,kv_cache_and_gqa_layout,NPU,npuw,24,255.9768259858472,0.0030756446588519064
decode,1024,fp16,scaled_dot_product_attention,GPU,plain,24,58.1135749027334,0.0010757322273182678
decode,1024,fp16,attention_output_and_residual,GPU,plain,24,24.922899571563196,0.0004613442954115381
decode,1024,fp16,ffn_rmsnorm,NPU,plain,24,6.106648343214717,7.337336217042408e-05
decode,1024,fp16,ffn_gate_projection,NPU,plain,24,128.15661222031972,0.001539843297743579
decode,1024,fp16,ffn_up_projection,NPU,plain,24,139.43671633954008,0.0016753774104585001
decode,1024,fp16,swiglu_activation,GPU,plain,24,0.0,0.0
decode,1024,fp16,ffn_down_and_residual,NPU,plain,24,127.26198289806902,0.0015290940360241424
decode,1024,fp16,final_rmsnorm,NPU,plain,1,7.6263953037429815,3.818067301586387e-06
decode,1024,fp16,lm_head,NPU,plain,1,4031.4735855328227,0.0020183109924262125
decode,1024,int8,token_embedding,GPU,plain,1,1.7915376446818154,7.394244349213293e-07
decode,1024,int8,pre_attention_rmsnorm,GPU,plain,24,3.7692612576707503,3.733664944810983e-05
decode,1024,int8,qkv_projection,GPU,plain,24,20.621177556452512,0.00020426434385932703
decode,1024,int8,rotary_embedding,GPU,plain,24,3.9278433440861926,3.890749406844324e-05
decode,1024,int8,kv_cache_and_gqa_layout,GPU,plain,24,256.9592426420845,0.0025453255980743567
decode,1024,int8,scaled_dot_product_attention,GPU,plain,24,353.79836020495964,0.0035045714391396927
decode,1024,int8,attention_output_and_residual,GPU,plain,24,14.885985035830595,0.0001474540412505322
decode,1024,int8,ffn_rmsnorm,GPU,plain,24,3.9695960095548255,3.932107766680858e-05
decode,1024,int8,ffn_gate_projection,GPU,plain,24,64.23981066052113,0.0006363313995185892
decode,1024,int8,ffn_up_projection,GPU,plain,24,66.40685311264055,0.000657797171945294
decode,1024,int8,swiglu_activation,GPU,plain,24,1.942730995042246,1.924384147855372e-05
