stage,window,precision,device,concurrency,ok,tokens_per_s_median,tokens_per_s_p10,tokens_per_s_p90,requests_per_s_median,measurement_wall_s,error,performance_hint,optimal_number_of_infer_requests,compile_s_excluded
prefill,1024,fp16,GPU,2,True,5611.8478537820765,5596.369713192928,5611.8478537820765,5.480320169709059,1.5042119026184082,,THROUGHPUT,4,1.2609429452568293
prefill,1024,fp16,GPU,4,True,6388.427722774371,5991.570577523233,6388.427722774371,6.238698948021847,2.723125195130706,,THROUGHPUT,4,1.2609429452568293
prefill,1024,fp16,NPU,1,True,2778.513835381829,2776.591758715329,2778.513835381829,2.713392417365067,1.766947377473116,,THROUGHPUT,1,14.611263424158096
prefill,1024,fp16,NPU,2,True,4576.932341670984,4559.0154820662565,4576.932341670984,4.46966048991307,2.0427689384669065,,THROUGHPUT,1,14.611263424158096
prefill,1024,fp16,NPU,4,True,5210.6708224206,5121.886867403409,5210.6708224206,5.088545725020118,3.5300663020461798,,THROUGHPUT,1,14.611263424158096
prefill,1024,int8,GPU,1,True,5450.708698042369,4788.185281362071,5450.708698042369,5.322957712932001,1.0029934756457806,,THROUGHPUT,4,1.1653722934424877
prefill,1024,int8,GPU,2,True,6148.129054792218,6128.409435980826,6148.129054792218,6.0040322800705255,1.4102562293410301,,THROUGHPUT,4,1.1653722934424877
prefill,1024,int8,GPU,4,True,6911.775462143404,6754.215263938135,6911.775462143404,6.749780724749418,2.436972413212061,,THROUGHPUT,4,1.1653722934424877
prefill,1024,int8,NPU,1,True,1898.566548161681,1897.3464784432813,1898.566548161681,1.8540688946891417,2.4960855338722467,,THROUGHPUT,1,18.0291460826993
prefill,1024,int8,NPU,2,True,3111.485229328808,3107.854353504883,3111.485229328808,3.038559794266414,2.923818675801158,,THROUGHPUT,1,18.0291460826993
prefill,1024,int8,NPU,4,True,3525.9306521007816,3487.3741683814646,3525.9306521007816,3.4432916524421695,5.053514149039984,,THROUGHPUT,1,18.0291460826993
prefill,2048,fp16,GPU,1,True,4824.770289393682,4743.56587620324,4824.770289393682,2.355844867868009,1.9539573341608047,,THROUGHPUT,4,1.2350503653287888
prefill,2048,fp16,GPU,2,True,5663.870430147454,5636.259972840691,5663.870430147454,2.7655617334704363,3.053542261943221,,THROUGHPUT,4,1.2350503653287888
prefill,2048,fp16,GPU,4,True,5815.415628852284,5791.892737704017,5815.415628852284,2.839558412525529,5.751831078901887,,THROUGHPUT,4,1.2350503653287888
prefill,2048,fp16,NPU,1,True,1654.814484067908,1649.6327487121205,1654.814484067908,0.8080148847987833,5.397740624845028,,THROUGHPUT,1,21.408836459740996
prefill,2048,fp16,NPU,2,False,,,,,1.8243138901889324,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_end <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:35

",THROUGHPUT,1,21.408836459740996
prefill,2048,fp16,NPU,4,False,,,,,2.592501847073436,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_begin <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:34

",THROUGHPUT,1,21.408836459740996
prefill,2048,int8,GPU,1,True,4655.084762316341,4564.699660514899,4655.084762316341,2.272990606599776,1.9524305313825607,,THROUGHPUT,4,1.207862477749586
prefill,2048,int8,GPU,2,True,5117.641060499645,5109.6978023812535,5117.641060499645,2.4988481740720925,3.346096871420741,,THROUGHPUT,4,1.207862477749586
prefill,2048,int8,GPU,4,True,5781.472698313876,5716.03991019549,5781.472698313876,2.8229847159735724,5.908445745706558,,THROUGHPUT,4,1.207862477749586
prefill,2048,int8,NPU,1,True,1303.2327712778397,1302.8025475614352,1303.2327712778397,0.6363441266005077,6.749194798991084,,THROUGHPUT,1,25.285416753962636
prefill,2048,int8,NPU,2,False,,,,,2.178680047392845,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_end <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:35

",THROUGHPUT,1,25.285416753962636
prefill,2048,int8,NPU,4,False,,,,,2.7459882143884897,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_begin <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:34

",THROUGHPUT,1,25.285416753962636
decode,128,fp16,GPU,1,True,69.09773070424843,68.13942840428456,69.09773070424843,2.1593040845077636,1.5534485150128603,,THROUGHPUT,2,0.4981651809066534
