stage,window,precision,operator,operator_label,device,analytic_dense_ops,profile_attributed_latency_us,effective_top_s,effective_top_s_low,effective_top_s_high
decode,1024,fp16,mha,Multi-head attention,NPU,5275648,869.4090646266999,0.00606808488046443,0.006062161365385351,0.006082520895821675
decode,1024,fp16,ffn,Feed-forward network (SwiGLU),GPU,26148864,355.2537612602838,0.07360615664485959,0.07330209393160893,0.07372248497383113
decode,1024,fp16,ffn,Feed-forward network (SwiGLU),NPU,26148864,411.4526055920855,0.06355255415717069,0.06343751203689653,0.06419184118829294
decode,1024,int8,qkv,QKV projection + RoPE,GPU,2064384,28.169599428112566,0.07328410917834337,0.06994555203694555,0.07704428005533108
decode,1024,int8,qkv,QKV projection + RoPE,NPU,2064384,787.5955310673689,0.0026211220335421353,0.0026072515388580408,0.0026368100232764787
decode,1024,int8,mha,Multi-head attention,GPU,5275648,626.0984531540342,0.008426227494131938,0.007824886198387587,0.009134115676662962
decode,1024,int8,mha,Multi-head attention,NPU,5275648,899.6062729908062,0.005864396634830842,0.00585999414053913,0.005873872495004304
decode,1024,int8,ffn,Feed-forward network (SwiGLU),GPU,26148864,196.001585398879,0.13341149229372282,0.13310452469002476,0.13434680383768893
decode,1024,int8,ffn,Feed-forward network (SwiGLU),NPU,26148864,836.529334896475,0.03125875317120357,0.03122207716243705,0.031293513383479306
decode,2048,fp16,qkv,QKV projection + RoPE,GPU,2064384,45.65855132714483,0.04521352386344081,0.043583907350146264,0.051360902568409784
decode,2048,fp16,qkv,QKV projection + RoPE,NPU,2064384,390.14582674430216,0.0052913138075240205,0.005150138934502788,0.006003754059662967
decode,2048,fp16,mha,Multi-head attention,GPU,8945664,470.79039590656,0.01900137317536845,0.01728639117543473,0.020715972634991062
decode,2048,fp16,mha,Multi-head attention,NPU,8945664,1888.2503456920458,0.004737541301347627,0.004727556598172563,0.004743543000735278
decode,2048,fp16,ffn,Feed-forward network (SwiGLU),GPU,26148864,358.47343429170473,0.0729450539387016,0.07276477257753076,0.07325358976405752
decode,2048,fp16,ffn,Feed-forward network (SwiGLU),NPU,26148864,641.6445033764213,0.040752883976097505,0.04058590239075879,0.041057495409755354
decode,2048,int8,qkv,QKV projection + RoPE,GPU,2064384,25.70974951999966,0.08029576477958728,0.07837932643161519,0.08902527050272592
decode,2048,int8,qkv,QKV projection + RoPE,NPU,2064384,1068.0539756277287,0.0019328461361577697,0.00193250516600556,0.0019401380716718977
decode,2048,int8,mha,Multi-head attention,GPU,8945664,1138.4030465973638,0.007858081570264762,0.007526160910089775,0.008223217757279905
decode,2048,int8,mha,Multi-head attention,NPU,8945664,1086.0266730646715,0.008237057359517816,0.008229752990107054,0.008247992727632004
decode,2048,int8,ffn,Feed-forward network (SwiGLU),GPU,26148864,185.90126575999756,0.14065995674154655,0.1399846737322384,0.14292362067265293
decode,2048,int8,ffn,Feed-forward network (SwiGLU),NPU,26148864,1073.2532262405905,0.024364114041934615,0.024347338586869625,0.024388755081762827
