stage,window,precision,operator,winner,npu_path,gpu_us,npu_us,speedup
prefill,1024,int8,ffn_gate_projection,NPU,plain,962.4837224461712,314.28705822935694,3.0624351122462716
prefill,1024,int8,ffn_up_projection,NPU,plain,436.17087119917124,306.4693698396205,1.4232119556594685
prefill,1024,int8,swiglu_activation,GPU,plain,434.23233399384156,606.4113381589693,1.396513549743096
prefill,1024,int8,ffn_down_and_residual,NPU,plain,358.6293829859852,230.26987578923396,1.557430739721416
prefill,1024,int8,final_rmsnorm,GPU,npuw,175.43761708233333,442.01885167962536,2.519521520132052
prefill,1024,int8,lm_head,NPU,plain,1740.8064103860256,670.1624538604315,2.5975886896650393
prefill,2048,fp16,token_embedding,NPU,npuw,200.37299839348123,59.17723892585232,3.3859808607249122
prefill,2048,fp16,pre_attention_rmsnorm,NPU,npuw,331.0029089483474,93.43774567239839,3.5424967347657876
prefill,2048,fp16,qkv_projection,NPU,plain,772.7091319262424,224.93879035855784,3.4351973294358236
prefill,2048,fp16,rotary_embedding,GPU,plain,588.9416306371934,2457.1867628846408,4.172207626460601
prefill,2048,fp16,kv_cache_and_gqa_layout,GPU,plain,232.47695946205002,488.8660233163075,2.102857953956125
prefill,2048,fp16,scaled_dot_product_attention,NPU,plain,3343.7663172521898,2094.9203684010827,1.5961305105855983
prefill,2048,fp16,attention_output_and_residual,NPU,plain,3304.4939237819967,181.75459388110227,18.181075114633334
prefill,2048,fp16,ffn_rmsnorm,GPU,npuw,285.81936412361483,1191.5056975321518,4.16873678655598
prefill,2048,fp16,ffn_gate_projection,GPU,plain,1512.2784155477732,3034.199397992562,2.0063761849655988
prefill,2048,fp16,ffn_up_projection,GPU,plain,1195.5957915191145,2894.4305226961933,2.420910598069731
prefill,2048,fp16,swiglu_activation,GPU,plain,0.0,2901.408312477173,
prefill,2048,fp16,ffn_down_and_residual,NPU,plain,1331.760867775458,857.758633464271,1.5526056116705131
prefill,2048,fp16,final_rmsnorm,NPU,plain,284.5075170559374,14.369513233243511,19.799384463332853
prefill,2048,fp16,lm_head,NPU,plain,3794.9096049328928,1358.363243146999,2.7937369654828155
prefill,2048,int8,token_embedding,GPU,plain,171.63444596837118,581.2229294011651,3.386400242223364
prefill,2048,int8,pre_attention_rmsnorm,GPU,plain,16.585729391364364,364.6011443042145,21.98282244337413
prefill,2048,int8,qkv_projection,NPU,plain,624.5012371379289,233.17179900562016,2.678288025400861
prefill,2048,int8,rotary_embedding,GPU,plain,444.5952516048169,2581.6066794726075,5.806644740702934
prefill,2048,int8,kv_cache_and_gqa_layout,NPU,plain,445.6291940504095,426.56892772350784,1.0446827349301355
prefill,2048,int8,scaled_dot_product_attention,NPU,plain,11037.335606700977,10118.62499927617,1.0907940167256447
prefill,2048,int8,attention_output_and_residual,GPU,plain,314.9887747934119,2796.644501348967,8.878552904569919
prefill,2048,int8,ffn_rmsnorm,GPU,plain,374.2871653045203,473.2609319743242,1.2644327025995636
prefill,2048,int8,ffn_gate_projection,NPU,plain,1860.0624596210828,1042.6213280003358,1.7840249471862748
prefill,2048,int8,ffn_up_projection,NPU,plain,797.4013498876102,683.0867288545362,1.1673500833851178
prefill,2048,int8,swiglu_activation,GPU,plain,825.0860715828928,1936.0498803365354,2.346482321077491
prefill,2048,int8,ffn_down_and_residual,NPU,plain,641.0443162674104,572.0108770282887,1.1206855359075762
prefill,2048,int8,final_rmsnorm,GPU,plain,370.40039330000525,417.214121213779,1.1263868202101421
prefill,2048,int8,lm_head,NPU,plain,1776.3131215280825,813.091791169908,2.1846403331317052
decode,128,fp16,token_embedding,GPU,npuw,1.9823181095631661,27.988244080561664,14.118946876154654
decode,128,fp16,pre_attention_rmsnorm,GPU,npuw,4.032572440783996,45.443259034170616,11.269049645475365
decode,128,fp16,qkv_projection,GPU,npuw,36.00766916802558,54.046264431429414,1.500965368772659
decode,128,fp16,rotary_embedding,GPU,npuw,6.00127819467093,17.393192492654794,2.8982479945855135
decode,128,fp16,kv_cache_and_gqa_layout,GPU,npuw,28.00596490846434,43.214767331158214,1.5430558265856167
decode,128,fp16,scaled_dot_product_attention,GPU,npuw,18.045043767953818,75.4164724396874,4.179345498381083
