model,family,size_b,context_length,output_tokens,placement,placement_label,prefill_device,decode_device,execution_devices,repeat,compile_s,prefill_top1,first_decode_top1,final_top1,all_tokens_per_s_e2e,decode_tokens_per_s,end_to_end_ms,handoff_estimate_ms,handoff_plus_first_decode_ms,output_tokens_per_s_e2e,prefill_tokens_per_s,steady_tpot_ms,steady_tpot_p95_ms,ttft_ms,energy_net_core_j,energy_net_dram_j,energy_net_package-0_j,energy_net_psys_j,energy_net_uncore_j,prefill_energy_net_core_j,prefill_energy_net_dram_j,prefill_energy_net_package-0_j,prefill_energy_net_psys_j,prefill_energy_net_uncore_j,prefill_npu_utilization,first_decode_energy_net_core_j,first_decode_energy_net_dram_j,first_decode_energy_net_package-0_j,first_decode_energy_net_psys_j,first_decode_energy_net_uncore_j,first_decode_npu_utilization,steady_decode_energy_net_core_j,steady_decode_energy_net_dram_j,steady_decode_energy_net_package-0_j,steady_decode_energy_net_psys_j,steady_decode_energy_net_uncore_j,steady_decode_npu_utilization
qwen25_1_5b_int8,Qwen2.5,1.5,1024,16,npu_npu,NPU -> NPU,NPU,NPU,NPU,2,19.737735787406564,1110,78,42,123.01374462979166,1.9880195113411543,8454.339823,8.784910000000036,511.06365200000005,1.892519148150641,1126.3363951079664,502.278742,504.0689766500001,909.142246,2.60767190236464,9.423141788778633,59.425250486502826,115.48832367838992,0.0,0.0,0.9193606032523487,9.263886660901312,15.123009618839195,0.0,0.9910451350865946,2.60767190236464,0.5944341109197806,5.830281147612368,9.6684375043769,0.0,0.9843783607604322,0.0,7.909347074606504,44.331082677989144,90.69687655517382,0.0,0.9966593008818779
qwen25_1_5b_int8,Qwen2.5,1.5,1024,16,openvino_auto,OpenVINO AUTO,GPU.0,GPU.0,GPU.0,0,3.323900909163058,1110,78,42,1470.952119146477,37.3896346784674,707.025053,28.374207,51.822874999999996,22.63003260225349,3348.1082998466923,23.448667999999998,32.4684677,305.84434799999997,5.955274740577293,1.2849055176363995,15.35820199751113,22.673675965319415,7.179196050122272,0.8977162625758582,0.3854016175892626,5.544371377863383,8.594703246081645,3.9466897818086433,0.0,1.6731163432827698,0.06940266223682236,2.0502308441867556,2.579950799721535,0.26222172290140083,0.0,3.3844421347186646,0.8301012378103145,7.7635997754609924,11.499021919516236,2.9702845454122273,0.0
qwen25_1_5b_int8,Qwen2.5,1.5,1024,16,openvino_auto,OpenVINO AUTO,GPU.0,GPU.0,GPU.0,1,3.323900909163058,1110,78,42,1428.3313335298378,38.3240484809433,728.122373,8.683794000000002,32.877001,21.97432820815135,3041.073291223516,24.193207,33.431276999999994,336.723223,5.551923277922748,1.3159443677918985,15.045327279416815,22.55619297170822,7.247328784248701,1.281861140618339,0.42295371673955207,6.0885685711450614,9.499864019022192,4.046662456158668,0.0,1.0012777281938712,0.06252828155287932,1.2536535454648514,1.5863967524073046,0.15093357664155216,0.0,3.2687844091105385,0.8304623694994672,7.703105162806903,11.469932200278723,3.0497327514484813,0.0
qwen25_1_5b_int8,Qwen2.5,1.5,1024,16,openvino_auto,OpenVINO AUTO,GPU.0,GPU.0,GPU.0,2,3.323900909163058,1110,78,42,1472.7647700392515,40.098485623215936,706.1548600000001,7.780450500000001,32.051745,22.65791953906541,3083.6324328810438,24.2712945,25.19333645,332.075895,5.437298245727224,1.3150152658857808,15.036150381470735,22.414075848544943,7.333127834693028,1.4714353690532027,0.42131060774108897,6.399462870318029,9.76940743896203,4.168924986786523,0.0,0.9712087590755394,0.06215895960279626,1.2090951049154186,1.5290973531167598,0.13592026905659632,0.0,2.9946541175984813,0.8315456985418955,7.427592406237288,11.115571056466152,3.0282825788499084,0.0
qwen25_1_5b_int8,Qwen2.5,1.5,2048,16,gpu_gpu,iGPU -> iGPU,GPU,GPU,NPU,0,7.039395838975906,283,261,271,256.2838347681854,2.231524510002938,8053.5707680000005,39.22317849999995,484.375858,1.9866963935518247,1537.8738827940401,445.15267950000003,446.9693189,1331.708681,19.90882149304839,8.737965551801807,113.16616378429183,196.14702865453145,75.6321539318624,3.4554331140316212,1.7510002866897914,23.597186379940304,39.62510362498162,16.74490696404732,0.0042689516717207615,2.7381880467823736,0.47007435334456127,7.592853929269808,12.353305423633705,3.8992036537061145,0.011724366328761166,13.715200332234396,6.5168909117674545,81.9761234750817,144.16861960591612,54.988043314108964,0.012741190454338075
qwen25_1_5b_int8,Qwen2.5,1.5,2048,16,gpu_gpu,iGPU -> iGPU,GPU,GPU,NPU,1,7.039395838975906,283,45079,42,256.4762268712818,2.2339582168008887,8047.529493000001,17.556319499999972,462.761139,1.9881878052037352,1536.3952749420644,445.20481950000004,453.49677214999997,1332.990301,22.990220976859057,8.790505081037598,116.63205996578668,199.82998003099766,75.84975732116304,4.951366500357121,1.8041143159966553,25.272849984447227,41.2413947163263,16.763886335732025,0.004271598972421931,2.3804372322249296,0.4681711305814702,7.238963623778912,11.82123153871566,3.91005098064904,0.012267667964228086,15.658417244277004,6.518219634459472,84.12024635756055,146.7673537759557,55.175820004781976,0.012679752756411552
qwen25_1_5b_int8,Qwen2.5,1.5,2048,16,gpu_gpu,iGPU -> iGPU,GPU,GPU,NPU,2,7.039395838975906,283,9917,42,255.70243939635353,2.2190236833507075,8071.882321,11.757271999999986,461.15218699999997,1.982189452684911,1560.793887903699,449.394915,453.31827695,1312.152755,22.786374507414475,8.746996586445613,116.99257361523432,200.71102083478456,76.29794937897242,3.4940630535481096,1.7486501005075636,23.79963005369959,39.52480666718143,16.844129068867364,0.004332574830435805,2.5209263993671525,0.46765415019934614,7.430039137308178,12.039396972540652,3.9176232802488857,0.01232781749769735,16.771385054499213,6.530692335738703,85.76290442422655,149.14681719506248,55.53619702985617,0.012593002392008876
qwen25_1_5b_int8,Qwen2.5,1.5,2048,16,gpu_npu,iGPU -> NPU,GPU,NPU,NPU,0,1.9245420200750232,283,261,271,226.7351877160085,1.9313928748265432,9103.130487999999,210.16478649999993,713.3654379999999,1.7576371140775853,1532.1144505055065,503.20065150000005,506.73365994999995,1336.71476,9.131715859602402,10.388396249843431,77.69789900933142,152.22279127012766,16.83712274511566,4.326789204816697,1.7503832165679745,24.608235062799032,40.92403255925051,16.83541169770159,0.004309819994805773,4.60800876157603,0.6681864283640737,7.62507224328337,13.330515509088599,0.0017110474140698093,0.8846854170134326,0.196917893209676,7.969826604911383,45.46459170324903,97.96824320178854,0.0,0.9976432480534603
qwen25_1_5b_int8,Qwen2.5,1.5,2048,16,gpu_npu,iGPU -> NPU,GPU,NPU,NPU,1,1.9245420200750232,283,45079,42,229.90195802039705,1.9623715583367354,8977.739979999998,85.91844250000003,589.6940659999999,1.7821857210883492,1535.3157028823045,503.77562349999994,505.96483255000004,1333.927606,7.370356244394605,10.330334463308748,75.70681156991728,145.6461608606738,16.764017083202106,5.012246616385914,1.7595661131279972,25.22794227335295,41.00696190906894,16.741545413529604,0.004309829089780453,1.8542244166434083,0.583485054864834,4.651793095963287,8.545330520656515,0.02247166967250187,0.9362346203429492,0.503885211365283,7.987283295315917,45.827076200601034,96.09386843094835,0.0,0.9969133905827314
qwen25_1_5b_int8,Qwen2.5,1.5,2048,16,gpu_npu,iGPU -> NPU,GPU,NPU,NPU,2,1.9245420200750232,283,9917,42,229.65860736735144,1.9637562125777746,8987.252965,81.05299850000003,584.863137,1.780299281917453,1518.3526266044735,503.8101385,505.31374095,1348.830281,6.985033446458151,10.324901593414207,75.50127237577648,145.95603657026447,16.868977428309016,3.9844387072735112,1.7615582311198135,24.3021223458941,40.139683823345514,16.85516185148417,0.0030893434546195512,1.7240084720833526,0.5813882047553007,4.51459519845387,8.387187450582172,0.01381557682484837,0.9421674322415022,1.2765862671012869,7.981955157539092,46.68455483142851,97.42916529633678,0.0,0.997378267401476
