all_tokens_per_s_e2e,context_length,decode_device,decode_energy_net_psys_j,decode_ms,decode_tokens_per_s,end_to_end_ms,energy_net_psys_j,family,handoff_plus_first_decode_ms,internal_overhead_ms,mode,model,output_tokens,output_tokens_per_s_e2e,precision,prefill_device,prefill_energy_net_psys_j,prefill_tokens_per_s,repeat,route,route_label,size_b,source_model,steady_tpot_ms,steady_tpot_p95_ms,ttft_ms
2879.387948749431,4096,NPU,11.011815232036707,414.85898499999996,36.15686424147231,1422.524534,37.78648512506044,Qwen2.5,121.77828000000001,0.0,overhead_free_oracle,qwen25_0_5b,16,11.247609174802465,FP16,iGPU,26.774669893023734,4048.9624797126016,0,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,0.5,qwen25_0_5b_fp16,19.408633000000002,27.549739649999996,1007.6655489999999
2817.7492814720413,4096,iGPU,10.267912031348612,325.0365820000002,46.14865166161512,1453.6424610000001,40.60978290946809,Qwen2.5,40.764533,0.0,measured,qwen25_0_5b,16,11.006833130750161,FP16,iGPU,30.341870878119476,3615.079520598528,1,gpu_full,Whole iGPU,0.5,qwen25_0_5b_fp16,19.5080695,23.44630155,1128.605879
3365.9014788458758,4096,NPU,9.820086582831687,327.56153100000006,45.792923101217276,1216.910247,27.786917847685658,Qwen2.5,51.535531000000006,0.0,measured,qwen25_0_5b,16,13.148052651741702,FP16,NPU,17.966831264853973,4587.626795426779,1,npu_full,Whole NPU,0.5,qwen25_0_5b_fp16,19.6297255,20.2453457,889.348716
3372.8998586740136,4096,iGPU,10.267912031348612,325.0365820000002,46.14865166161512,1214.3852980000001,28.234743296202584,Qwen2.5,40.764533,0.0,overhead_free_oracle,qwen25_0_5b,16,13.175390072945365,FP16,NPU,17.966831264853973,4587.626795426779,1,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,0.5,qwen25_0_5b_fp16,19.5080695,23.44630155,889.348716
2812.8633918541,4096,NPU,9.820086582831687,327.56153100000006,45.792923101217276,1456.16741,40.161957460951164,Qwen2.5,51.535531000000006,0.0,overhead_free_oracle,qwen25_0_5b,16,10.987747624430078,FP16,iGPU,30.341870878119476,3615.079520598528,1,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,0.5,qwen25_0_5b_fp16,19.6297255,20.2453457,1128.605879
2845.602066983094,4096,iGPU,10.77982371240567,337.24682899999993,44.477808863252505,1439.414192,40.289082094538706,Qwen2.5,46.685089999999995,0.0,measured,qwen25_0_5b,16,11.115633074152711,FP16,iGPU,29.509258382133034,3701.797147118028,2,gpu_full,Whole iGPU,0.5,qwen25_0_5b_fp16,19.858069999999998,23.73208415,1102.167363
3339.1583711978074,4096,NPU,9.458380108340009,328.889045,45.60808645967518,1226.656404,27.437611488809317,Qwen2.5,54.623934,0.0,measured,qwen25_0_5b,16,13.043587387491435,FP16,NPU,17.979231380469308,4544.607195949524,2,npu_full,Whole NPU,0.5,qwen25_0_5b_fp16,19.554413999999998,20.106267550000002,897.767359
3316.561088770261,4096,iGPU,10.77982371240567,337.24682899999993,44.477808863252505,1235.014188,28.75905509287498,Qwen2.5,46.685089999999995,0.0,overhead_free_oracle,qwen25_0_5b,16,12.955316753008832,FP16,NPU,17.979231380469308,4544.607195949524,2,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,0.5,qwen25_0_5b_fp16,19.858069999999998,23.73208415,897.767359
2862.2212074256686,4096,NPU,9.458380108340009,328.889045,45.60808645967518,1431.056408,38.96763849047304,Qwen2.5,54.623934,0.0,overhead_free_oracle,qwen25_0_5b,16,11.180551591506518,FP16,iGPU,29.509258382133034,3701.797147118028,2,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,0.5,qwen25_0_5b_fp16,19.554413999999998,20.106267550000002,1102.167363
2689.3559239239694,8192,iGPU,11.397912698882905,399.3202180000003,37.56383805239734,3046.082494,85.00188226815493,Qwen2.5,69.778687,0.0,measured,qwen25_0_5b,16,5.252648288914003,FP16,iGPU,73.60396956927202,3089.0571753033405,0,gpu_full,Whole iGPU,0.5,qwen25_0_5b_fp16,22.787651,26.263037849999996,2646.762276
