all_tokens_per_s_e2e,all_tokens_per_s_e2e_q25,all_tokens_per_s_e2e_q75,context_length,decode_device,decode_energy_net_psys_j,decode_energy_net_psys_j_q25,decode_energy_net_psys_j_q75,decode_ms,decode_ms_q25,decode_ms_q75,decode_tokens_per_s,decode_tokens_per_s_q25,decode_tokens_per_s_q75,e2e_speedup_vs_gpu,end_to_end_ms,end_to_end_ms_q25,end_to_end_ms_q75,energy_net_psys_j,energy_net_psys_j_q25,energy_net_psys_j_q75,energy_reduction_vs_gpu,family,fastest_e2e,handoff_plus_first_decode_ms,handoff_plus_first_decode_ms_q25,handoff_plus_first_decode_ms_q75,internal_overhead_ms,lowest_energy,mode,model,model_label,output_tokens_per_s_e2e,output_tokens_per_s_e2e_q25,output_tokens_per_s_e2e_q75,precision,prefill_device,prefill_energy_net_psys_j,prefill_energy_net_psys_j_q25,prefill_energy_net_psys_j_q75,prefill_tokens_per_s,prefill_tokens_per_s_q25,prefill_tokens_per_s_q75,repeats,route,route_label,size_b,steady_tpot_ms,steady_tpot_ms_q25,steady_tpot_ms_q75,steady_tpot_p95_ms,steady_tpot_p95_ms_q25,steady_tpot_p95_ms_q75,ttft_ms,ttft_ms_q25,ttft_ms_q75
767.1015616375668,766.487582732239,774.7054323048746,2048,iGPU,42.23533688487256,41.911236215258455,42.7473095752307,1336.2557139999997,1336.034444,1337.9520174999996,11.225396339072269,11.211182400383763,11.227255763351272,1.0,2669.789898,2643.84014,2671.930192,92.22111851553885,91.60348249114398,92.42676630440494,0.0,Llama 3.2,True,100.18574600000001,99.9964105,102.64697749999999,0.0,False,measured,llama32_3b,Llama 3.2 3B,5.99298095029349,5.988184240095618,6.052386189881833,FP16,iGPU,49.39871092110475,49.38592137439346,49.69224627588552,1523.2649591568136,1521.0799167457399,1556.4741069968932,3,gpu_full,Whole iGPU,3.0,87.75281500000001,87.71656675,87.79231925,90.78791505,90.260761025,90.8908207,1333.976724,1306.1093925,1335.895748
701.2131161870926,700.6971829492835,703.986639730481,2048,NPU,31.308188828216643,31.194280837067666,31.5416536614058,1590.980208,1586.9090815,1605.233983,9.428149969795225,9.345168960724997,9.452399572268277,0.9141072724323243,2920.652727,2909.1912730000004,2922.8048295,81.06615447658498,80.8737375662419,81.11999194614235,0.1209588890105936,Llama 3.2,False,178.34850899999998,177.11055349999998,194.3620465,0.0,False,overhead_free_oracle,llama32_3b,Llama 3.2 3B,5.478227470211661,5.474196741791277,5.499895622894383,FP16,iGPU,49.39871092110475,49.38592137439346,49.69224627588552,1523.2649591568136,1521.0799167457399,1556.4741069968932,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,3.0,100.5010975,100.4861975,100.5453005,101.3804163,101.075597725,101.993017025,1333.976724,1306.1093925,1335.895748
645.1745614803872,643.1730790546255,646.6726643221925,2048,NPU,31.308188828216643,31.194280837067666,31.5416536614058,1590.980208,1586.9090815,1605.233983,9.428149969795225,9.345168960724997,9.452399572268277,0.8410549446713464,3174.334703,3166.997933,3184.243712,76.77005017567933,76.40717616521292,77.37635485110076,0.16754371003704627,Llama 3.2,False,178.34850899999998,177.11055349999998,194.3620465,0.0,True,measured,llama32_3b,Llama 3.2 3B,5.040426261565525,5.024789680114262,5.052130190017129,FP16,NPU,45.46186134746268,45.21289532814525,45.834701189694954,1288.6669790821597,1286.0091239036803,1289.550106328152,3,npu_full,Whole NPU,3.0,100.5010975,100.4861975,100.5453005,101.3804163,101.075597725,101.993017025,1576.823208,1575.7440855,1580.0888515000001
702.738449995687,702.1541459444313,702.8873360474968,2048,iGPU,42.23533688487256,41.911236215258455,42.7473095752307,1336.2557139999997,1336.034444,1337.9520174999996,11.225396339072269,11.211182400383763,11.227255763351272,0.9160957103196599,2914.3132839999994,2913.6961029999993,2916.7404764999997,87.7946765775716,87.49697138563599,88.25791009531156,0.04799813761987082,Llama 3.2,False,100.18574600000001,99.9964105,102.64697749999999,0.0,False,overhead_free_oracle,llama32_3b,Llama 3.2 3B,5.490144140591305,5.48557926519087,5.4913073128710685,FP16,NPU,45.46186134746268,45.21289532814525,45.834701189694954,1288.6669790821597,1286.0091239036803,1289.550106328152,3,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,3.0,87.75281500000001,87.71656675,87.79231925,90.78791505,90.260761025,90.8908207,1576.823208,1575.7440855,1580.0888515000001
850.2669186723851,850.0862646026058,859.2263597150766,4096,iGPU,45.22897564127649,43.97289283020879,45.41088290696568,1415.807820000001,1414.4879905000003,1417.7403995000006,10.594658249592095,10.580235900469772,10.604553138881375,1.0,4817.310788000001,4767.5974525,4818.334745,165.47752763595605,162.6926125645806,166.65769336677786,0.0,Llama 3.2,True,109.114073,108.62187650000001,111.657108,0.0,False,measured,llama32_3b,Llama 3.2 3B,3.3213551510640045,3.3206494711039287,3.356352967637018,FP16,iGPU,120.24855199467956,118.71971973437182,121.24681045981217,1199.4697750914913,1198.6444245915184,1218.2519911042018,3,gpu_full,Whole iGPU,3.0,92.99677700000001,92.99468750000001,93.00464825,94.43623765000001,94.29474630000001,94.71633805,3401.502968,3349.8570529999997,3403.8467545
792.6596956452279,791.8549493624776,798.0999460404837,4096,NPU,33.3725464560836,33.321173667342634,33.92007953070794,1771.7361999999998,1768.823106,1785.4838134999998,8.466271671821122,8.401582366719186,8.480237867743881,0.9322480720323617,5167.41298,5132.427772499999,5172.6698605,153.62109845076316,152.04089340171447,155.1668899905201,0.07164978444249281,Llama 3.2,False,266.97515,263.0479305,275.74849299999994,0.0,False,overhead_free_oracle,llama32_3b,Llama 3.2 3B,3.0963269361141714,3.093183395947178,3.1175779142206395,FP16,iGPU,120.24855199467956,118.71971973437182,121.24681045981217,1199.4697750914913,1198.6444245915184,1218.2519911042018,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,3.0,107.17812599999999,107.17021025,107.49997124999999,109.60956010000001,109.233686425,109.8088157,3401.502968,3349.8570529999997,3403.8467545
732.7797817539648,730.8664163284727,733.4653336947729,4096,NPU,33.3725464560836,33.321173667342634,33.92007953070794,1771.7361999999998,1768.823106,1785.4838134999998,8.466271671821122,8.401582366719186,8.480237867743881,0.8618232294608548,5589.673872,5584.4542205,5604.3457204999995,138.65458698340248,138.23103475952297,140.5430702314295,0.16209415886103262,Llama 3.2,False,266.97515,263.0479305,275.74849299999994,0.0,True,measured,llama32_3b,Llama 3.2 3B,2.862421022476425,2.8549469387830966,2.8650989597452066,FP16,NPU,105.28204052731888,104.90986109218036,106.62299070072156,1068.1226247560955,1067.5670608214152,1069.8461774772245,3,npu_full,Whole NPU,3.0,107.17812599999999,107.17021025,107.49997124999999,109.60956010000001,109.233686425,109.8088157,3819.786142,3813.6422555,3821.775001
781.7600835137807,781.7516864406405,783.1671162580843,4096,iGPU,45.22897564127649,43.97289283020879,45.41088290696568,1415.807820000001,1414.4879905000003,1417.7403995000006,10.594658249592095,10.580235900469772,10.604553138881375,0.9194290243991009,5239.459121,5230.0628255,5239.5154005,150.51101616859538,148.88275392238916,152.03387360768724,0.09044437441853981,Llama 3.2,False,109.114073,108.62187650000001,111.657108,0.0,False,overhead_free_oracle,llama32_3b,Llama 3.2 3B,3.053750326225706,3.053717525158752,3.059246547883142,FP16,NPU,105.28204052731888,104.90986109218036,106.62299070072156,1068.1226247560955,1067.5670608214152,1069.8461774772245,3,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,3.0,92.99677700000001,92.99468750000001,93.00464825,94.43623765000001,94.29474630000001,94.71633805,3819.786142,3813.6422555,3821.775001
826.2335772251334,825.5777255710921,833.5777000357766,8192,iGPU,48.36660344894568,48.242902827074644,48.63683122902165,1526.5983220000016,1523.8695320000006,1527.0017520000001,9.825767383491202,9.823172126265263,9.843393928516315,1.0,9914.871806000001,9828.281073999999,9922.754595000002,343.93872694202236,342.82446973193373,345.7816045764536,0.0,Llama 3.2,True,124.933821,124.2429285,126.7821945,0.0,False,measured,llama32_3b,Llama 3.2 3B,1.6137374555178388,1.6124564952560392,1.6280814453823762,FP16,iGPU,295.5721234930767,294.5815669048591,297.14477334743196,974.0602763729432,973.4629081725661,984.699736985742,3,gpu_full,Whole iGPU,3.0,99.4496485,99.42917675,99.571631,101.72606005,101.66135237499999,101.957472725,8393.731064000001,8304.008112,8398.885063000002
778.0625320749675,777.677563149646,783.9727101170753,8192,NPU,38.116323328317065,37.83116482178118,38.53796916731765,2135.106764,2135.0462160000006,2145.9896535000007,7.025409807563141,6.989961835045682,7.025609047548404,0.9416980300994956,10528.716732000003,10449.937217500003,10533.931279,333.11812980832195,332.83437756564086,334.9759381692131,0.031460828008252895,Llama 3.2,False,396.897302,396.0727155,411.564028,0.0,False,overhead_free_oracle,llama32_3b,Llama 3.2 3B,1.519653382958921,1.5189014905266522,1.5311966994474127,FP16,iGPU,295.5721234930767,294.5815669048591,297.14477334743196,974.0602763729432,973.4629081725661,984.699736985742,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,3.0,123.84031549999999,123.51343499999999,123.859394,125.85470939999999,125.586965825,126.02089537500001,8393.731064000001,8304.008112,8398.885063000002
